history_key,state,next_word
stairBYGBBlocheBBBBG,N/A,abate
stairBYGBBlocheBBBBGabateGGGGG,GGGGG,OKAY
stairBYGBBlocheBBBBB,N/A,adapt
stairBYGBBlocheBBBBBadaptGGGGG,GGGGG,OKAY
stairBYGBBlocheBBYYB,N/A,chant
stairBYGBBlocheBBYYBchantGGGGG,GGGGG,OKAY
stairBYGBBlocheYBBBY,N/A,dealt
stairBYGBBlocheYBBBYdealtGGGGG,GGGGG,OKAY
stairBYGBBlocheBBBYY,N/A,death
stairBYGBBlocheBBBYYdeathGGGGG,GGGGG,OKAY
stairBYGBBlocheYBBBG,N/A,elate
stairBYGBBlocheYBBBGelateGGGGG,GGGGG,OKAY
stairBYGBBlocheBBYBY,N/A,enact
stairBYGBBlocheBBYBYenactGGGGG,GGGGG,OKAY
stairBYGBBlocheGBBBY,N/A,leant
stairBYGBBlocheGBBBYleantGGGGG,GGGGG,OKAY
stairBYGBBlocheGGBYB,N/A,loath
stairBYGBBlocheGGBYBloathGGGGG,GGGGG,OKAY
stairBYGBBlocheBBBBY,N/A,meant
stairBYGBBlocheBBBBYmeantGGGGG,GGGGG,OKAY
stairBYGBBlocheBYBBG,N/A,ovate
stairBYGBBlocheBYBBGovateGGGGG,GGGGG,OKAY
stairBYGBBlocheYBBBB,N/A,plant
stairBYGBBlocheYBBBBplantGGGGG,GGGGG,OKAY
stairBYGBBlocheBBYYY,N/A,teach
stairBYGBBlocheBBYYYteachGGGGG,GGGGG,OKAY
stairBYGBBlocheBBBYB,N/A,thank
stairBYGBBlocheBBBYBthankGGGGG,GGGGG,OKAY
stairBBYBBdynelBYBGB,N/A,abbey
stairBBYBBdynelBYBGBabbeyGGGGG,GGGGG,OKAY
stairBBYBBdynelYBBGY,N/A,abled
stairBBYBBdynelYBBGYabledGGGGG,GGGGG,OKAY
stairBBYBBdynelYBBYB,N/A,abode
stairBBYBBdynelYBBYBabodeGGGGG,GGGGG,OKAY
stairBBYBBdynelBBBYB,N/A,mauve
stairBBYBBdynelBBBYBmauveGGGGG,GGGGG,OKAY
stairBBYBBdynelBBBBG,N/A,afoul
stairBBYBBdynelBBBBGafoulGGGGG,GGGGG,OKAY
stairBBYBBdynelBBBBY,N/A,aglow
stairBBYBBdynelBBBBYaglowGGGGG,GGGGG,OKAY
stairBBYBBdynelBYYBB,N/A,agony
stairBBYBBdynelBYYBBagonyGGGGG,GGGGG,OKAY
stairBBYBBdynelBBBYY,N/A,amble
stairBBYBBdynelBBBYYambleGGGGG,GGGGG,OKAY
stairBBYBBdynelBYBBY,N/A,allay
stairBBYBBdynelBYBBYallayGGGGG,GGGGG,OKAY
stairBBYBBdynelBYBGY,N/A,alley
stairBBYBBdynelBYBGYalleyGGGGG,GGGGG,OKAY
stairBBYBBdynelBBYYY,N/A,angle
stairBBYBBdynelBBYYYangleGGGGG,GGGGG,OKAY
stairBBYBBdynelBBYBY,N/A,along
stairBBYBBdynelBBYBYalongGGGGG,GGGGG,OKAY
stairBBYBBdynelYBBBY,N/A,aloud
stairBBYBBdynelYBBBYaloudGGGGG,GGGGG,OKAY
stairBBYBBdynelYBYYB,N/A,amend
stairBBYBBdynelYBYYBamendGGGGG,GGGGG,OKAY
stairBBYBBdynelBBYBB,N/A,among
stairBBYBBdynelBBYBBamongGGGGG,GGGGG,OKAY
stairBBYBBdynelBBYGG,N/A,angel
stairBBYBBdynelBBYGGangelGGGGG,GGGGG,OKAY
stairBBYBBdynelBBGGB,N/A,annex
stairBBYBBdynelBBGGBannexGGGGG,GGGGG,OKAY
stairBBYBBdynelBYGBB,N/A,canny
stairBBYBBdynelBYGBBcannyGGGGG,GGGGG,OKAY
stairBBYBBdynelBBGBG,N/A,banal
stairBBYBBdynelBBGBGbanalGGGGG,GGGGG,OKAY
stairBBYBBdynelYYBBY,N/A,badly
stairBBYBBdynelYYBBYbadlyGGGGG,GGGGG,OKAY
stairBBYBBdynelBBBGG,N/A,bagel
stairBBYBBdynelBBBGGbagelGGGGG,GGGGG,OKAY
stairBBYBBdynelBYBBB,N/A,baggy
