current_progress,state,next_word
aesirBBBBBbludyBBGBBcantoYBBBYabampBBBBBvouchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGBBcantoYBBBYabampBBBBY,BBBBY,pouch
aesirBBBBBbludyBBGBBcantoYBBBYabampBBBBYpouchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGBBcantoYBBYY,YBBYY,touch
aesirBBBBBbludyBBGBBcantoYBBYYtouchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGBBcantoGBBBB,GBBBB,abaca
aesirBBBBBbludyBBGBBcantoGBBBBabacaBBBYB,BBBYB,chump
aesirBBBBBbludyBBGBBcantoGBBBBabacaBBBYBchumpGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGBBcantoGBBBBabacaBBBGB,BBBGB,chuck
aesirBBBBBbludyBBGBBcantoGBBBBabacaBBBGBchuckGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGBBcantoGBBBY,GBBBY,aargh
aesirBBBBBbludyBBGBBcantoGBBBYaarghBBBBG,BBBBG,couch
aesirBBBBBbludyBBGBBcantoGBBBYaarghBBBBGcouchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGBBcantoGBBBYaarghBBBGG,BBBGG,cough
aesirBBBBBbludyBBGBBcantoGBBBYaarghBBBGGcoughGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGBBcantoGBYBB,GBYBB,chunk
aesirBBBBBbludyBBGBBcantoGBYBBchunkGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGBBcantoGBYYY,GBYYY,count
aesirBBBBBbludyBBGBBcantoGBYYYcountGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGBY,BBGBY,aahed
aesirBBBBBbludyBBGBYaahedBBBBB,BBBBB,young
aesirBBBBBbludyBBGBYaahedBBBBByoungGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGBYaahedBBYBB,BBYBB,youth
aesirBBBBBbludyBBGBYaahedBBYBByouthGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGBG,BBGBG,pouty
aesirBBBBBbludyBBGBGpoutyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGYB,BBGYB,bumph
aesirBBBBBbludyBBGYBbumphBYBBB,BYBBB,abaft
aesirBBBBBbludyBBGYBbumphBYBBBabaftBBBBB,BBBBB,wound
aesirBBBBBbludyBBGYBbumphBYBBBabaftBBBBBwoundGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGYBbumphBYBBBabaftBBBYB,BBBYB,found
aesirBBBBBbludyBBGYBbumphBYBBBabaftBBBYBfoundGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGYBbumphBYBBY,BYBBY,hound
aesirBBBBBbludyBBGYBbumphBYBBYhoundGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGYBbumphBYBBG,BYBBG,dough
aesirBBBBBbludyBBGYBbumphBYBBGdoughGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGYBbumphBYBYB,BYBYB,pound
aesirBBBBBbludyBBGYBbumphBYBYBpoundGGGGG,GGGGG,OKAY
aesirBBBBBbludyBBGYBbumphBYYBB,BYYBB,mound
aesirBBBBBbludyBBGYBbumphBYYBBmoundGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBB,BYBBB,aalii
aesirBBBBBbludyBYBBBaaliiBBYBB,BBYBB,knoll
aesirBBBBBbludyBYBBBaaliiBBYBBknollGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBBaaliiBBGBB,BBGBB,colon
aesirBBBBBbludyBYBBBaaliiBBGBBcolonGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBY,BYBBY,aboon
aesirBBBBBbludyBYBBYaboonBBBBB,BBBBB,lymph
aesirBBBBBbludyBYBBYaboonBBBBBlymphGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBYaboonBBBBY,BBBBY,lynch
aesirBBBBBbludyBYBBYaboonBBBBYlynchGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBYaboonBBBGG,BBBGG,nylon
aesirBBBBBbludyBYBBYaboonBBBGGnylonGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBYaboonBBYBB,BBYBB,polyp
aesirBBBBBbludyBYBBYaboonBBYBBpolypGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBG,BYBBG,choof
aesirBBBBBbludyBYBBGchoofBBYBB,BBYBB,aflaj
aesirBBBBBbludyBYBBGchoofBBYBBaflajBBYBB,BBYBB,lowly
aesirBBBBBbludyBYBBGchoofBBYBBaflajBBYBBlowlyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBGchoofBBYBBaflajBBGBB,BBGBB,golly
aesirBBBBBbludyBYBBGchoofBBYBBaflajBBGBBgollyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBGchoofBBYBBaflajBBGBY,BBGBY,jolly
aesirBBBBBbludyBYBBGchoofBBYBBaflajBBGBYjollyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBGchoofBBYBY,BBYBY,aalii
aesirBBBBBbludyBYBBGchoofBBYBYaaliiBBYBB,BBYBB,lofty
aesirBBBBBbludyBYBBGchoofBBYBYaaliiBBYBBloftyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBGchoofBBYBYaaliiBBGBB,BBGBB,folly
aesirBBBBBbludyBYBBGchoofBBYBYaaliiBBGBBfollyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBGchoofBBGYB,BBGYB,abamp
aesirBBBBBbludyBYBBGchoofBBGYBabampBBBBB,BBBBB,wooly
aesirBBBBBbludyBYBBGchoofBBGYBabampBBBBBwoolyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBGchoofBBGYBabampBBBBY,BBBBY,loopy
aesirBBBBBbludyBYBBGchoofBBGYBabampBBBBYloopyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBGchoofBYYBB,BYYBB,aalii
aesirBBBBBbludyBYBBGchoofBYYBBaaliiBBYBB,BBYBB,hotly
aesirBBBBBbludyBYBBGchoofBYYBBaaliiBBYBBhotlyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBGchoofBYYBBaaliiBBGBB,BBGBB,holly
aesirBBBBBbludyBYBBGchoofBYYBBaaliiBBGBBhollyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBBGchoofGBYBB,GBYBB,coyly
aesirBBBBBbludyBYBBGchoofGBYBBcoylyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBYG,BYBYG,adage
aesirBBBBBbludyBYBYGadageBYBBB,BYBBB,dolly
aesirBBBBBbludyBYBYGadageBYBBBdollyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBYGadageBYBYB,BYBYB,godly
aesirBBBBBbludyBYBYGadageBYBYBgodlyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBYGadageBGBBB,BGBBB,oddly
aesirBBBBBbludyBYBYGadageBGBBBoddlyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYBGG,BYBGG,moldy
aesirBBBBBbludyBYBGGmoldyGGGGG,GGGGG,OKAY
aesirBBBBBbludyBYYBB,BYYBB,agone
aesirBBBBBbludyBYYBBagoneBBBBB,BBBBB,mulch
aesirBBBBBbludyBYYBBagoneBBBBBmulchGGGGG,GGGGG,OKAY
